scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9991563,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991563,Antonietta Lo Pardo Costa Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",March
9991565,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991565,Chevron/SWE Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",
9991581,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991581,Ansys/SWE Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",February
9991582,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991582,Alice May Anderson Memorial Scholarship Fund,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",February
9991584,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991584,Amateur Radio Digital Communications Scholarship – Freshman,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",March
9991569,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991569,Central Illinois Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,250",February
9991570,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991570,Ceasar’s STEM Headstart Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,000",March
9991628,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991628,Gulf Coast Hurricane Scholarship,Society of Plastics Engineers,"To promote scientific and engineering knowledge relating to plastics, and encourage students in plastics engineering.",Bachelor's Degree,Scholarship,N/A,April
9991488,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991488,SWE Central Indiana Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",February
9991483,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991483,SWE New Jersey Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,750",March
9991489,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991489,SWE Boston Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
9991512,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991512,Northrop Grumman SWE Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$4,500",February
9991500,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991500,Olive Lynn Salembier Memorial Reentry Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
9991513,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991513,Wanda Munn Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
9991629,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991629,Harold Giles Composites Division Scholarship,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$3,500",April
9991632,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991632,Robert G. Dailey SPE Detroit Section Scholarship,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree,Scholarship,"$3,000",April
9991507,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991507,Phoenix Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,500",February
9991520,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991520,Elizabeth McLean Memorial Scholarship,Society of Women Engineers,Applicant must be a person who identifies as female/women; must be an incoming freshman through graduate student studying engineering at an ABET-accredited program; must be a full-time student (exceptions made for re-entry/non-traditional students).,Bachelor's Degree,Scholarship,"$1,500",February
9991528,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991528,Bertha Lamme Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",February
9991529,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991529,BK Krenzer Memorial Re-entry Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,750",
9992543,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992543,Porch Skilled Trade & Technology Scholarships,Porch Group,To help keep up with the demand and assist the next generation of skilled trades and technology workers.,Associate Degree  Bachelor's Degree  Graduate Degree  Vocational,Scholarship,"$2,000",
9997939,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997939,CLCA Landscape Educational Advancement Foundation Scholarship,California Landscape Contractors Association,To provide financial assistance to landscape programs for special needs.,Bachelor's Degree,Scholarship,N/A,April
9997395,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997395,John M. & Mary A. Shanley Memorial Scholarship,Collaboratory,"To fund students pursuing degrees or advanced degrees in medicine, law, dentistry, teaching (math and science), ministry, engineering, accounting, architecture and computer science.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",February
9999312,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999312,AIA Alaska College Scholarship Program,American Institute of Architects Alaska,To help Alaska resident students enroll in an accredited architectural program.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
9995827,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995827,Raymond F. Cain Scholarship Fund,Hawaii Community Foundation,To support Hawaiian students pursuing degrees in landscape architecture.,Associate Degree  Bachelor's Degree,Scholarship,N/A,
9998935,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998935,"Peridian International, Inc./Rae L. Price, FASLA Scholarship",American Society of Landscape Architects,To bring young creative individuals into the profession who may not otherwise have the financial ability to cover all the costs of their educational program.,Bachelor's Degree,Scholarship,"$5,000",February
9994202,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994202,MNLA Academic Scholarship,Michigan Nursery and Landscape Association,To further the education of those students who are pursuing careers in green industry.,Bachelor's Degree,Scholarship,N/A,November
9998936,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998936,ASLA Council of Fellows Scholarships,American Society of Landscape Architects,"To aid outstanding students who would not otherwise have an opportunity to continue a professional degree program in the area of landscape architecture due to unmet financial need, increase the interest and participation of economically disadvantaged and underrepresented populations in the study of landscape architecture through a more diverse population, and enrich the profession of landscape architecture through a more diverse population.",Bachelor's Degree,Scholarship,"$5,000  $10,000",February
9991749,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991749,Berkshire Hathaway Energy Foundation CARES Scholarship,Society of Hispanic Professional Engineers,"To support students pursing undergraduate or graduate degrees in engineering, computer science, or accounting.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",
9991808,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991808,SAWE Scholarship Program,Society of Allied Weight Engineers,To provide financial assistance for the education of the dependents of SAWE members.,Bachelor's Degree,Scholarship,"$1,000",April
9998971,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998971,Naval Research Enterprise Internship Program (NREIP),American Society for Engineering Education,"To provide opportunities for undergraduate and graduate students to participate in research, under the guidance of an appropriate research mentor, at participating Navy laboratories.",Bachelor's Degree  Graduate Degree,N/A,"$7,500  $11,500",
9998920,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998920,ASNE Scholarship Program,American Society of Naval Engineers,To support the education of future navel engineers.,Bachelor's Degree  Graduate Degree,Scholarship,"$4,000",February
9991195,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991195,Graduating Texas High School Seniors Scholarship,Texas Society of Professional Engineers,To provide financial assistance to students studying to become engineers in an engineering program at an ABET-accredited college or university.,Bachelor's Degree,Scholarship,N/A,January
9991740,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991740,SPHE Graduating High School Senior Scholarship,Society of Hispanic Professional Engineers,To support graduating high school students who plan to pursue STEM degrees.,Bachelor's Degree,Scholarship,"$1,000",
9991530,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991530,Keys to the Future Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,800",March
9991517,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991517,Susan Miszkowicz September 11 Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,750",February
9991526,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991526,Liebherr Mining – Junior Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
9991531,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991531,IPG Photonics Corporation Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$10,000",February
9991544,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991544,Greeley and Hansen Nicole B. Spieles Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",
9991558,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991558,Eaton HBCU STEM Scholar Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",February
9991559,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991559,Cummins Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",
9991548,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991548,Lillian Moller Gilbreth Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$19,000",February
9991571,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991571,Broadcom Inc. SWE Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",February
9991579,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991579,Avangrid Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Associate Degree  Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
9991568,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991568,Central New Mexico – Pioneers Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",February
9991576,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991576,Dr. Celeste Belcastro Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
9991585,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991585,Lonnie Lee and Maria Elena Abernethy Endowment for Native Americans,Society of Women Engineers,"To help Native American women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,750",
9991578,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991578,Betty Lou Bailey SWE Region F Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
9991480,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991480,Meredith Thoms Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$4,500",February
9991481,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991481,SWENext Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,000",March
9991482,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991482,SWE Ohio State Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
9991487,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991487,SWE Central New Mexico- Legacy Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",February
9991474,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991474,The Wolfs Family Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
9991484,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991484,SWE Kansas City Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,000",February
9991495,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991495,Southeast Diamond Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
9991498,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991498,Paula Loring Simon Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,750",March
9991508,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991508,Rochelle Nicolette Perry Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",February
9991510,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991510,Dr. Ivy M. Parker Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
9991511,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991511,Northwest Star Legacy Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
9991505,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991505,Ada I. Pressman Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",February
9991524,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991524,Liebherr Mining – Sophomore Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,250",February
9991543,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991543,"Green, Thompson, & Labunksi Scholarship",Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",February
9991572,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991572,Brill Family Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",February
9991580,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991580,Olga Aparicio Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",February
9991567,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991567,Central New Mexico – Reentry Scholarship,Society of Women Engineers,Applicant must be a person who identifies as female/women; must be an incoming freshman through graduate student studying engineering at an ABET-accredited program; must be a full-time student (exceptions made for re-entry/non-traditional students).,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
9991575,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991575,Barbara W. & Thomas W. Benko Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",
9991475,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991475,Susan and Marvin Whatley Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
9991492,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991492,Carol Stephens SWE Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
9991627,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991627,Injection Molding Division Scholarship,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",April
9991621,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991621,Thermoplastic Elastomers Special Interest Group Scholarship,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$1,000",April
9991630,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991630,Fleming-Blaszcak Scholarship,Society of Plastics Engineers,"To promote scientific and engineering knowledge relating to plastics, as well as to encourage Mexican-American students in the plastics field.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,April
9991624,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991624,Carrie Fox Solin and Future Blow Molding Professionals Internship,Society of Plastics Engineers,To support student members of the Society of Plastics Engineers (SPE) who have accepted an internship in blow molding within the plastics industry.,Bachelor's Degree,Scholarship,"$3,000",May
9991622,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991622,Thermoforming Division Scholarship,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",April
9991633,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991633,Robert E. Cramer Product Design & Development Division,Society of Plastics Engineers,To support those who are studying in the field(s) of plastics engineering.,Bachelor's Degree,Scholarship,"$1,000",April
9998258,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998258,AES Graduate Studies Grants,"Audio Engineering Society, Inc.",To encourage the entry of talented students into the profession of audio engineering and related fields.,Bachelor's Degree  Graduate Degree,Grant  Prize,N/A,May
9993016,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993016,Nancy and George Kiedaisch Scholarship,Parkersburg Area Community Foundation,"To assist Ritchie County High School graduating seniors pursuing vocational, technical, or trade school programs.",Bachelor's Degree  Vocational,Scholarship,N/A,March
9991798,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991798,Harold E. Ennes Scholarship,Society of Broadcast Engineers,To provide assistance for candidates who aspire to a career in the technical aspects of broadcasting.,Bachelor's Degree  Graduate Degree  High School,Scholarship,"$1,000  $1,500",July
9995296,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995296,"Transoft Solutions, Inc. Ahead of the Curve Scholarship (AOTC)",Institute of Transportation Engineers,To encourage students to pursue studies in transportation and/or traffic engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",April
9991479,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991479,"Jill S. Tietjen, P.E., Scholarship",Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,250",February
9991477,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991477,Triumph Group for Diversity and Inclusion,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
9991486,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991486,SWE Heartland 1 Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
9991490,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991490,SWE Baltimore-Washington Section Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
9991496,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991496,Sonora Region B Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,000",February
9991499,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991499,Judy Simmons Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,500",February
9991502,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991502,Judith Resnik Memorial Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$4,000",February
9991509,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991509,Past Presidents Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$6,500",February
9991491,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991491,SWE Baltimore-Washington Section Freshman Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",March
9991485,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991485,SWE Heartland 2 Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",February
