Award Name,Level Of Study,Award Type,Award Amount,Deadline
"Edilia and François Auguste de Montêquin Fellowships
                                            


                                            Organization:
                                             Society of Architectural Historians 


                                            Purposes: To provide support for travel related to research on Spanish, Portuguese, or Ibero-American architecture.",Graduate Degree,Fellowship,"$2,000  $6,000",September
"Katharine & Bryant Mather Scholarship
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support graduate students whose studies relate to concrete.",Graduate Degree,Scholarship,N/A,November
"ACI Foundation Scholarships
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To provide granted based on the availability of contributions received.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,November
"AIST Midwest Member Chapter – Tom Cipich Non-Engineering
                                            


                                            Organization:
                                             Association for Iron and Steel Technology 


                                            Purposes: To support students in pursuing college educations.",Bachelor's Degree,Scholarship,"$3,000",January
"Robert P. Stearns/SCS Engineers Master’s Scholarship
                                            


                                            Organization:
                                             Environmental Research and Education Foundation 


                                            Purposes: To support students and recognize excellence in master’s and doctoral waste management research and education.",Graduate Degree,Scholarship,"$7,500  $15,000",
"Endre Holen and Stephanie Goetz Mult-Engine Flight Scholarship
                                            


                                            Organization:
                                             NGPA 


                                            Purposes: To support members pursuing aviation training and education.",Professional Development,Scholarship,"$5,000",July
"AISC/Great Lakes Fabricators and Erectors Association Scholarships
                                            


                                            Organization:
                                             American Institute of Steel Construction 


                                            Purposes: To provide financial assistance to those studying civil engineering.",Graduate Degree,Scholarship,"$5,000",May
"Parkersburg Chapter of the WV Society of Professional Engineers
                                            


                                            Organization:
                                             Parkersburg Area Community Foundation 


                                            Purposes: To assist local students in pursuing postsecondary education in engineering fields.",Bachelor's Degree  Vocational,Scholarship,N/A,March
"Bertold E. Weinberg Scholarship
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential graduate students whose studies relate to concrete.",Graduate Degree,Scholarship,N/A,November
"ACI W.R. Grace Scholarships
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential graduate students whose studies relate to concrete.",Graduate Degree,Scholarship,"$3,000",
"Kumar Mehta Scholarship
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential graduate students whose studies relate to concrete.",Graduate Degree,Scholarship,N/A,November
"Resilience Action Fund Scholarship
                                            


                                            Organization:
                                             Federal Alliance For Safe Homes 


                                            Purposes: To support graduate students seeking academic degrees that underpin disaster safety and mitigation, including construction, engineering, financial services, risk communication, social sciences and other related fields.",Graduate Degree,Scholarship,"$1,500",
"AGC NYS Scholarship Program
                                            


                                            Organization:
                                             Associated General Contractors of New York State 


                                            Purposes: To provide college students working towards a degree in construction or construction-related engineering (Civil, Mechanical, Electrical) at colleges or universities.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500  $5,000",May
"Keepers Preservation Education Fund Fellowship
                                            


                                            Organization:
                                             Society of Architectural Historians 


                                            Purposes: To provide support to students in Historic Preservation to attend the annual meeting.",Graduate Degree,Fellowship,"$1,000",September
"Nixon Family Scholarship Fund
                                            


                                            Organization:
                                             Wayne County Foundation, Inc. 


                                            Purposes: To assist students pursuing a degree in engineering, technology or related fields.",Bachelor's Degree  High School,Scholarship,$500,
"Courtland P. Paul Scholarships
                                            


                                            Organization:
                                             Landscape Architecture Foundation 


                                            Purposes: To assist students in their study of landscape architecture.",Bachelor's Degree,Scholarship,"$5,000",
"ASLA Council of Fellows Scholarships
                                            


                                            Organization:
                                             Landscape Architecture Foundation 


                                            Purposes: To aid outstanding students who would not otherwise have an opportunity to continue a professional degree program in the area of landscape architecture due to unmet financial need, increase the interest and participation of economically disadvantaged and underrepresented populations in the study of landscape architecture through a more diverse population, and enrich the profession of landscape architecture through a more diverse population.",Bachelor's Degree,Scholarship,"$5,000  $10,000",February
"Tom Cory Scholarships
                                            


                                            Organization:
                                             Architectural Precast Association 


                                            Purposes: To provide financial assistance for architecture students.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",June
"Vectorworks Design Scholarship
                                            


                                            Organization:
                                             Vectorworks Inc. 


                                            Purposes: To support unique opportunity to take the next step in your journey of professional development.",Bachelor's Degree  Graduate Degree  Professional Development,Scholarship,"$3,000",April
"Alfred T. Granger Student Art Fund Scholarship
                                            


                                            Organization:
                                             Vermont Student Assistance Corporation 


                                            Purposes: To support a college education for talented students pursuing degrees in architecture, design, fine arts, and mechanical drawing (CAD).",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500  $5,000",February
"NAWIC Founders Undergraduate Scholarship
                                            


                                            Organization:
                                             National Association of Women in Construction 


                                            Purposes: To support women pursuing construction-related degrees.",Bachelor's Degree,Scholarship,N/A,February
"Robert N. Herbert Undergraduate Scholarships
                                            


                                            Organization:
                                             Society of Naval Architects and Marine Engineers 


                                            Purposes: To encourage study in naval architecture, marine engineering, ocean engineering or marine industry-related fields.",Bachelor's Degree,Scholarship,"$6,000",June
"Samuel H. Kress Foundation Fellowships
                                            


                                            Organization:
                                             Society of Architectural Historians 


                                            Purposes: To provide assistance for the professional development of graduate students in architectural history.",Graduate Degree,Fellowship,"$1,000",November
"SAH Study Tour Fellowships
                                            


                                            Organization:
                                             Society of Architectural Historians 


                                            Purposes: To provide travel opportunities that focus on the history of architecture and landscapes.",Graduate Degree,Fellowship,N/A,
"Society of Women Engineers (SWE HI) Scholarship Fund in Honor of Mae
                                            


                                            Organization:
                                             Hawaii Community Foundation 


                                            Purposes: To provide scholarships to women and other underrepresented genders (such as non-binary, transgender, two-spirit, and/or third gender) students pursuing degrees in engineering or technology.",Associate Degree  Bachelor's Degree  Graduate Degree,Scholarship,N/A,
"Pu'uwai Hau Kila Scholarship
                                            


                                            Organization:
                                             Pauahi Foundation 


                                            Purposes: To support students pursuing undergraduate STEAM degrees.",Bachelor's Degree,Scholarship,N/A,December
"Mandell and Lester Rosenblatt Undergraduate Scholarship
                                            


                                            Organization:
                                             Society of Naval Architects and Marine Engineers 


                                            Purposes: To encourage study in naval architecture, marine engineering, ocean engineering or marine industry-related fields.",Bachelor's Degree,Scholarship,"$6,000",June
"John and Ruth Maciag Scholarship
                                            


                                            Organization:
                                             Vermont Student Assistance Corporation 


                                            Purposes: To support Vermont students pursuing degrees in art and design fields.",Bachelor's Degree  Graduate Degree  Vocational,Scholarship,"$1,000",February
"Dolores Zohrab Liebmann Fund - Graduate School Fellowships
                                            


                                            Organization:
                                             Dolores Zohrab Liebmann Fund 


                                            Purposes: To recognize field of study in the humanities, social sciences or natural sciences (including law, medicine, engineering, architecture or other formal professional training).",Graduate Degree,Fellowship,"$18,000",April
"The Deborah J. Norden Fund
                                            


                                            Organization:
                                             Architectural League of New York 


                                            Purposes: To assist students and recent graduates in the fields of architecture, architectural history, and urban studies.",Graduate Degree,Grant,"$5,000",April
"Foster McCarl, Jr. Memorial Scholarship
                                            


                                            Organization:
                                             Mechanical Contractors Association of America 


                                            Purposes: To symbolize the scope of Mr. McCarl's impact on the mechanical contracting industry and support a student pursuing an undergraduate degree in the field.",Bachelor's Degree,Scholarship,"$5,000",
"AGC Education and Research Foundation Scholarships
                                            


                                            Organization:
                                             Associated General Contractors of America 


                                            Purposes: To support undergraduate and graduate level scholarships to students enrolled in ABET or ACCE-accredited construction management or construction related engineering programs.",Bachelor's Degree  Graduate Degree,Prize  Scholarship,"$2,500  $3,750",November
"Lee S. Evans/National Housing Endowment Scholarship
                                            


                                            Organization:
                                             National Housing Endowment 


                                            Purposes: To assist promising students entering the field of residential construction management.",N/A,Scholarship,N/A,
"Portland Cement Association Scholarship
                                            


                                            Organization:
                                             Federal Alliance For Safe Homes 


                                            Purposes: To support graduate students seeking academic degrees that underpin disaster safety and mitigation, including construction, engineering, financial services, risk communication, social sciences and other related fields.",Graduate Degree,Scholarship,"$1,500",May
"Ralph Modjeski Scholarship Fund
                                            


                                            Organization:
                                             Polish-American Engineers Association 


                                            Purposes: To honor the outstanding accomplishments of Ralph Modjeski, the Polish American Engineers Association has established the Ralph Modjeski Scholarship Fund.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,May
"ACI Elmer Baker Student Fellowship
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential graduate students whose studies relate to concrete.",Bachelor's Degree  Graduate Degree,Fellowship,N/A,November
"Beck – O.J. Beck, Jr. Memorial Scholarship
                                            


                                            Organization:
                                             Coastal Bend Community Foundation 


                                            Purposes: To provide educational assistance to students who are seeking a bachelor's degree in building construction.",Bachelor's Degree,Scholarship,"$2,000",March
"ASA Graduate Scholarships
                                            


                                            Organization:
                                             American Shotcrete Association 


                                            Purposes: To attract, identify and assist outstanding graduate students pursuing careers within the field of concrete with a significant interest in the shotcrete process.",Graduate Degree,Scholarship,"$3,000",
"ACI Charles Pankow Student Fellowship
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential undergraduate and graduate students whose studies relate to concrete.",Bachelor's Degree  Graduate Degree,Fellowship,N/A,November
"Herman J. Smith Scholarship
                                            


                                            Organization:
                                             National Housing Endowment 


                                            Purposes: To honor lifelong commitment to the housing industry and the education of future generations of home builders.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,
"Darooge Family Scholarship
                                            


                                            Organization:
                                             Grand Rapids Community Foundation 


                                            Purposes: To support students in their pursuit of higher education and future career choices.",Bachelor's Degree,Scholarship,N/A,April
"Aises A. T. Anderson Memorial Scholarship
                                            


                                            Organization:
                                             American Indian Science and Engineering Society 


                                            Purposes: To financially assist Native Americans, Natives Alaskans, Native Hawaiians, Pacific Islanders, and Indigenous persons of Canada in furthering their education.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000  $2,000",May
"ACI President's Fellowships
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential graduate students whose studies relate to concrete.",Graduate Degree,Fellowship,N/A,November
"AGC Foundation Outstanding Educator Award
                                            


                                            Organization:
                                             Associated General Contractors of America 


                                            Purposes: To recognize an educator who makes a significant mark in the field of construction education, and support the education of the students of the winning educator.",N/A,Prize  Scholarship,"$2,500  $5,000  $10,000",November
"Matthew Webster Scholarship
                                            


                                            Organization:
                                             The Yukon Foundation 


                                            Purposes: To help students in the Yukon pursue studies in technical fields, construction design, or apprenticeship training.",Bachelor's Degree  Vocational,Scholarship,N/A,June
"Chevron Scholarship
                                            


                                            Organization:
                                             Society of Hispanic Professional Engineers 


                                            Purposes: To support students pursuing undergraduate degrees in engineering, computer science, and geology/geophysics degrees.",Bachelor's Degree,Scholarship,"$5,000",
"Eleanor Allwork Scholarship
                                            


                                            Organization:
                                             AIA New York Chapter 


                                            Purposes: To support architecture students seeking their first degree in architecture; and to support with demonstrated financial need.",Bachelor's Degree,Scholarship,"$7,500  $10,000",March
"Arthur Buckwell Memorial Scholarship
                                            


                                            Organization:
                                             Institut Royal d'Architecture du Canada 


                                            Purposes: To provide support to a student at the School of Architecture at the University of Manitoba.",Bachelor's Degree,Scholarship,"$1,500",
"Stewardson Keefe LeBrun Travel Grant
                                            


                                            Organization:
                                             AIA New York Chapter 


                                            Purposes: To further the personal and professional development of an architect in early or midcareer through travel.",Professional Development,Grant  Prize,"$25,000",October
"Annika Teig Fellowship
                                            


                                            Organization:
                                             Skidmore, Owings & Merrill L.L.P. 


                                            Purposes: To support Scandinavian citizens seeking experience in interior design at a leading architecture firm in New York City.",Professional Development,N/A,N/A,
"AIA Northeast Illinois Student Scholarships
                                            


                                            Organization:
                                             American Institute of Architects - Northeast Illinois 


                                            Purposes: To support students enrolled in an accredited architecture program.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",June
"AIA Silicon Valley William R. Hawley Scholarship
                                            


                                            Organization:
                                             Silicon Valley Community Foundation 


                                            Purposes: To support Santa Clara students pursuing degrees in architecture.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",May
"Annika Teig Fellowship
                                            


                                            Organization:
                                             The American-Scandinavian Foundation 


                                            Purposes: To support Scandinavian citizens seeking experience in interior design at a leading architecture firm in New York City.",Professional Development,N/A,N/A,
"Arnold ""Les"" Larsen, FAIA, Memorial Scholarships
                                            


                                            Organization:
                                             American Institute of Architects - Northeast Illinois 


                                            Purposes: To support students enrolled in an accredited architecture program.",Graduate Degree,Scholarship,"$1,000",April
"AIA/Architects Foundation Diversity Advancement Scholarship
                                            


                                            Organization:
                                             American Institute of Architects 


                                            Purposes: To provide assistance to high school graduates, college freshmen and community college students from minority and/or financially disadvantage who intend to pursue a NAAB-accredited professional degree.",Bachelor's Degree,Prize  Scholarship,"$20,000",January
"American Institute of Architects Vermont Scholar Promise Award
                                            


                                            Organization:
                                             Vermont Student Assistance Corporation 


                                            Purposes: To encourage students to enter the field of architecture.",Bachelor's Degree,Scholarship,"$1,000  $2,000",February
"Konrad & Anne Domes Scholarship
                                            


                                            Organization:
                                             The Yukon Foundation 


                                            Purposes: To help students in the Yukon pursue college degrees in architecture or drafting.",Bachelor's Degree  Vocational,Scholarship,N/A,June
"APS/ASU Scholarship
                                            


                                            Organization:
                                             Arizona State University 


                                            Purposes: To provide financial assistance to qualified individuals who want to pursue their career.",Bachelor's Degree,Scholarship,"$2,000",March
"NDSEG Fellowship
                                            


                                            Organization:
                                             National Defense Science and Engineering Graduate Fellowship 


                                            Purposes: To increase the number and quality of scientists and engineers.",Graduate Degree,Fellowship,"$1,000",
"Eric Primavera Memorial Scholarships
                                            


                                            Organization:
                                             Florida Engineering Society 


                                            Purposes: To offers several scholarship programs for students interested in pursuing careers in engineering.",Bachelor's Degree,Scholarship,"$1,000",
"Thomas M. Lemons Scholarship
                                            


                                            Organization:
                                             International Association of Lighting Designers 


                                            Purposes: To support students and educators for the purpose of promoting the profession of architectural lighting design.",Bachelor's Degree  Graduate Degree,Scholarship,"$4,500",April
"Samuel H. Kress Grants for Research and Publication in Classical Art
                                            


                                            Organization:
                                             Archaeological Institute of America 


                                            Purposes: To provide support publication activities critical to both current and future archaeological research.",Graduate Degree  Professional Development,Grant  Prize,"$3,000",March
"Raymond W. Miller, PE Scholarships
                                            


                                            Organization:
                                             Florida Engineering Society 


                                            Purposes: To encourage and assist students in pursuing engineering careers; to educate the public about engineering and to promote and enhance engineering education in Florida in order to position the state as a technological leader in a global economy.",Bachelor's Degree,Scholarship,"$2,500",
"Mid-Hudson Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
"Motorola Solutions Foundation Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$10,000",
"IBM Linda Sanford Women’s Technical Advancement Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",
"Mary Gunther Memorial Freshman Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$7,000",March
"Dorothy Lemke Howarth Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",
"Eaton HSI STEM Scholar Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",February
"Freeman Family Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,
"Alma Kuppinger Forman, PE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,875",February
"Cummins First Generation Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,500",March
"Ford Motor Company Scholarship (Junior)
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,250",February
"Rebecca McNally Gilden Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$4,500",March
"Antonietta Lo Pardo Costa Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",March
"Chevron/SWE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",
"Ansys/SWE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$6,000",February
"Alice May Anderson Memorial Scholarship Fund
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",February
"Amateur Radio Digital Communications Scholarship – Freshman
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",March
"Central Illinois Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,250",February
"Ceasar’s STEM Headstart Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,000",March
"Gulf Coast Hurricane Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To promote scientific and engineering knowledge relating to plastics, and encourage students in plastics engineering.",Bachelor's Degree,Scholarship,N/A,April
"Lew Erwin Extrusion Division Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To promote scientific and engineering knowledge relating to plastics, and support research in polymer extrusion.",Graduate Degree  Professional Development,Scholarship,"$5,000",April
"SWE Central Indiana Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",February
"SWE New Jersey Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$2,750",March
"SWE Boston Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
"Northrop Grumman SWE Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$4,500",February
"Olive Lynn Salembier Memorial Reentry Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",
"Lydia I. Pickup Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Graduate Degree,Scholarship,"$3,750",February
"Wanda Munn Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
"Harold Giles Composites Division Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,500",April
"Robert G. Dailey SPE Detroit Section Scholarship
                                            


                                            Organization:
                                             Society of Plastics Engineers 


                                            Purposes: To support those who are studying in the field(s) of plastics engineering.",Bachelor's Degree,Scholarship,"$3,000",April
"Phoenix Section Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,500",February
"Elizabeth McLean Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: Applicant must be a person who identifies as female/women; must be an incoming freshman through graduate student studying engineering at an ABET-accredited program; must be a full-time student (exceptions made for re-entry/non-traditional students).",Bachelor's Degree,Scholarship,"$1,500",February
"Bertha Lamme Memorial Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,250",February
